Date, MaxTemperature, MinTemperature, AvgTemperature, AtObsTemperature, Precipitation, Snowfall, SnowDepth
2000-04-03, 84, 49, 66.5, 79, 0.00, 0.0, 0
2000-04-04, 82, 52, 67.0, 81, 0.00, 0.0, 0
2000-04-05, 82, 51, 66.5, 80, 0.00, 0.0, 0
2000-04-06, 80, 53, 66.5, 71, 0.00, 0.0, 0
2000-04-07, 78, 54, 66.0, 77, 0.00, 0.0, 0
2000-04-08, 87, 53, 70.0, 82, 0.00, 0.0, 0
2000-04-09, 82, 48, 65.0, 74, 0.00, 0.0, 0
2000-04-10, 79, 49, 64.0, 74, 0.00, 0.0, 0
2000-04-11, 89, 51, 70.0, 79, 0.00, 0.0, 0
2000-04-12, 91, 53, 72.0, 84, 0.00, 0.0, 0
2000-04-13, 84, 53, 68.5, 71, 0.00, 0.0, 0
2000-04-14, 72, M, M, 66, 0.00, 0.0, 0
2000-04-15, 70, 50, 60.0, 61, 0.00, 0.0, 0
2000-04-16, 73, 50, 61.5, 63, 0.00, 0.0, 0
2000-04-17, 64, 50, 57.0, 56, 0.10, 0.0, 0
2000-04-18, 64, 48, 56.0, 61, 0.55, 0.0, 0
2000-04-19, 72, 45, 58.5, 60, 0.00, 0.0, 0
2000-04-20, 85, 49, 67.0, 79, 0.00, 0.0, 0
2000-04-21, M, M, M, M, 0.00, 0.0, 0
2000-04-22, M, M, M, M, 0.00, 0.0, 0
2000-04-23, 71, 55, 63.0, 69, 0.00, 0.0, 0
2000-04-24, 85, 50, 67.5, 84, 0.00, 0.0, 0
2000-04-25, 90, 54, 72.0, 86, 0.00, 0.0, 0
2000-04-26, 95, 56, 75.5, 87, 0.00, 0.0, 0
2000-04-27, 87, 40, 63.5, 79, 0.00, 0.0, 0
2000-04-28, 79, 58, 68.5, 69, 0.00, 0.0, 0
2000-04-29, 83, 51, 67.0, 73, 0.00, 0.0, 0
2000-04-30, 92, 50, 71.0, 85, 0.00, 0.0, 0
2000-05-01, 93, 52, 72.5, 86, 0.00, 0.0, 0
2000-05-02, 89, 55, 72.0, 80, 0.00, 0.0, 0
2000-05-03, 88, 57, 72.5, 83, 0.00, 0.0, 0
2000-05-04, 84, 58, 71.0, 81, 0.00, 0.0, 0
2000-05-05, 81, 61, 71.0, 73, 0.00, 0.0, 0
2000-05-06, 79, 59, 69.0, 76, 0.00, 0.0, 0
2000-05-07, 78, 55, 66.5, 71, 0.00, 0.0, 0
2000-05-08, 78, 60, 69.0, 71, 0.00, 0.0, 0
2000-05-09, 83, 59, 71.0, 69, 0.00, 0.0, 0
2000-05-10, 74, 58, 66.0, 69, 0.00, 0.0, 0
2000-05-11, 74, 55, 64.5, 72, 0.00, 0.0, 0
2000-05-12, 86, 47, 66.5, 74, 0.00, 0.0, 0
2000-05-13, 87, 51, 69.0, 82, 0.00, 0.0, 0
2000-05-14, 83, 52, 67.5, 65, 0.00, 0.0, 0
2000-05-15, 78, 53, 65.5, 65, 0.00, 0.0, 0
2000-05-16, 69, 53, 61.0, 61, 0.00, 0.0, 0
2000-05-17, 78, 51, 64.5, 74, 0.00, 0.0, 0
2000-05-18, 91, 53, 72.0, 82, 0.00, 0.0, 0
2000-05-19, 95, 57, 76.0, 88, 0.00, 0.0, 0
2000-05-20, 100, 61, 80.5, 82, 0.00, 0.0, 0
2000-05-21, 105, 61, 83.0, 84, 0.00, 0.0, 0
2000-05-22, 91, 61, 76.0, 83, 0.00, 0.0, 0
2000-05-23, 83, 59, 71.0, 72, 0.00, 0.0, 0
2000-05-24, 76, 60, 68.0, 71, 0.00, 0.0, 0
2000-05-25, 71, 59, 65.0, 65, 0.00, 0.0, 0
2000-05-26, 83, 60, 71.5, 76, 0.00, 0.0, 0
2000-05-27, 102, 60, 81.0, 91, 0.00, 0.0, 0
2000-05-28, 101, 64, 82.5, 93, 0.00, 0.0, 0
2000-05-29, 95, 63, 79.0, 78, 0.00, 0.0, 0
2000-05-30, 87, 60, 73.5, 74, 0.00, 0.0, 0
2000-05-31, 85, 62, 73.5, 72, 0.00, 0.0, 0
2000-06-01, 91, 60, 75.5, 84, 0.00, 0.0, 0
2000-06-02, 91, 58, 74.5, 81, 0.00, 0.0, 0
2000-06-03, 93, 57, 75.0, 87, 0.00, 0.0, 0
2000-06-04, 94, 57, 75.5, 84, 0.00, 0.0, 0
2000-06-05, 94, 60, 77.0, 86, 0.00, 0.0, 0
2000-06-06, 93, 57, 75.0, 88, 0.00, 0.0, 0
2000-06-07, 90, 58, 74.0, 83, 0.00, 0.0, 0
2000-06-08, 83, 57, 70.0, 69, 0.00, 0.0, 0
2000-06-09, 81, 53, 67.0, 75, 0.00, 0.0, 0
2000-06-10, 84, 56, 70.0, 77, 0.00, 0.0, 0
2000-06-11, 89, 56, 72.5, 87, 0.00, 0.0, 0
2000-06-12, 94, 59, 76.5, 87, 0.00, 0.0, 0
2000-06-13, 97, 62, 79.5, 87, 0.00, 0.0, 0
2000-06-14, 99, 63, 81.0, 88, 0.00, 0.0, 0
2000-06-15, 96, 62, 79.0, 75, 0.00, 0.0, 0
2000-06-16, 87, 62, 74.5, 81, 0.00, 0.0, 0
2000-06-17, 86, 64, 75.0, 81, 0.00, 0.0, 0
2000-06-18, 87, 62, 74.5, 80, 0.00, 0.0, 0
2000-06-19, 88, 62, 75.0, 82, 0.00, 0.0, 0
2000-06-20, 94, 59, 76.5, 85, 0.00, 0.0, 0
2000-06-21, 88, 61, 74.5, 82, 0.00, 0.0, 0
2000-06-22, 92, 64, 78.0, 83, 0.00, 0.0, 0
2000-06-23, 89, 63, 76.0, 80, 0.00, 0.0, 0
2000-06-24, 93, 63, 78.0, 87, 0.00, 0.0, 0
2000-06-25, 91, 65, 78.0, 91, 0.00, 0.0, 0
2000-06-26, 98, 68, 83.0, 94, 0.00, 0.0, 0
2000-06-27, 99, 67, 83.0, 87, 0.00, 0.0, 0
2000-06-28, 98, 66, 82.0, 91, 0.00, 0.0, 0
2000-06-29, 96, 64, 80.0, 80, 0.00, 0.0, 0
2000-06-30, 94, 64, 79.0, 84, 0.00, 0.0, 0
2000-07-01, M, M, M, M, 0.00, 0.0, 0
2000-07-02, 93, 60, 76.5, 85, 0.00, 0.0, 0
2000-07-03, 88, M, M, 81, 0.00, 0.0, 0
2000-07-04, 87, 58, 72.5, 79, 0.00, 0.0, 0
2000-07-05, 87, 59, 73.0, 80, 0.00, 0.0, 0
2000-07-06, 90, 58, 74.0, 85, 0.00, 0.0, 0
2000-07-07, 89, 59, 74.0, 83, 0.00, 0.0, 0
2000-07-08, 87, 59, 73.0, 82, 0.00, 0.0, 0
2000-07-09, 84, 61, 72.5, 79, 0.00, 0.0, 0
2000-07-10, 86, 61, 73.5, 78, 0.00, 0.0, 0
2000-07-11, 86, 59, 72.5, 83, 0.00, 0.0, 0
2000-07-12, 89, 59, 74.0, 85, 0.00, 0.0, 0
2000-07-13, 94, 58, 76.0, 88, 0.00, 0.0, 0
2000-07-14, 96, 61, 78.5, 92, 0.00, 0.0, 0
2000-07-15, 94, 64, 79.0, 91, 0.00, 0.0, 0
2000-07-16, 94, 60, 77.0, 83, 0.00, 0.0, 0
2000-07-17, 96, 58, 77.0, 92, 0.00, 0.0, 0
2000-07-18, 104, 63, 83.5, 92, 0.00, 0.0, 0
2000-07-19, 108, 63, 85.5, 100, 0.00, 0.0, 0
2000-07-20, 104, 64, 84.0, 87, 0.00, 0.0, 0
2000-07-21, 95, 63, 79.0, 90, 0.00, 0.0, 0
