Date, MaxTemperature, MinTemperature, AvgTemperature, AtObsTemperature, Precipitation, Snowfall, SnowDepth
2000-06-17, 69, 55, 62.0, M, 0.00, M, M
2000-06-18, 65, 55, 60.0, M, 0.00, M, M
2000-06-19, 66, 52, 59.0, M, 0.00, M, M
2000-06-20, 63, 53, 58.0, M, 0.00, M, M
2000-06-21, 65, 53, 59.0, M, 0.00, M, M
2000-06-22, 58, 52, 55.0, M, 0.00, M, M
2000-06-23, 60, 52, 56.0, M, 0.00, M, M
2000-06-24, 64, 54, 59.0, M, 0.00, M, M
2000-06-25, 63, 55, 59.0, M, 0.00, M, M
2000-06-26, 64, 53, 58.5, M, 0.00, M, M
2000-06-27, 63, 54, 58.5, M, 0.00, M, M
2000-06-28, 63, 53, 58.0, M, 0.00, M, M
2000-06-29, 61, 54, 57.5, M, 0.00, M, M
2000-06-30, 61, 53, 57.0, M, 0.00, M, M
2000-07-01, 61, 54, 57.5, M, 0.00, M, M
2000-07-02, 57, 51, 54.0, M, 0.00, M, M
2000-07-03, 62, 51, 56.5, M, 0.00, M, M
2000-07-04, 62, 51, 56.5, M, 0.00, M, M
2000-07-05, 61, 52, 56.5, M, 0.00, M, M
2000-07-06, 61, 52, 56.5, M, 0.00, M, M
2000-07-07, 63, 52, 57.5, M, 0.00, M, M
2000-07-08, 65, 54, 59.5, M, 0.00, M, M
2000-07-09, 65, 53, 59.0, M, 0.00, M, M
2000-07-10, 65, 53, 59.0, M, 0.00, M, M
2000-07-11, 65, 54, 59.5, M, 0.00, M, M
2000-07-12, 66, 56, 61.0, M, 0.00, M, M
2000-07-13, 67, 55, 61.0, M, 0.00, M, M
2000-07-14, 62, 53, 57.5, M, 0.00, M, M
2000-07-15, 62, 54, 58.0, M, 0.00, M, M
2000-07-16, 60, 54, 57.0, M, 0.00, M, M
2000-07-17, 63, 56, 59.5, M, 0.00, M, M
2000-07-18, 66, 54, 60.0, M, 0.00, M, M
2000-07-19, 66, 53, 59.5, M, 0.00, M, M
2000-07-20, 61, 51, 56.0, M, 0.00, M, M
2000-07-21, 60, 51, 55.5, M, 0.02, M, M
2000-07-22, 63, 52, 57.5, M, 0.00, M, M
2000-07-23, 65, 52, 58.5, M, 0.00, M, M
2000-07-24, 69, 52, 60.5, M, 0.00, M, M
2000-07-25, 64, 51, 57.5, M, 0.00, M, M
2000-07-26, 63, 52, 57.5, M, 0.00, M, M
2000-07-27, 65, 54, 59.5, M, 0.00, M, M
2000-07-28, 65, 52, 58.5, M, 0.00, M, M
2000-07-29, 68, 53, 60.5, M, 0.00, M, M
2000-07-30, 66, 52, 59.0, M, 0.00, M, M
2000-07-31, 71, 53, 62.0, M, 0.00, M, M
2000-08-01, 80, 57, 68.5, M, 0.00, 0.0, 0
2000-08-02, 73, 55, 64.0, M, 0.00, 0.0, 0
2000-08-03, 67, 55, 61.0, M, 0.00, 0.0, 0
2000-08-04, 66, 58, 62.0, M, 0.00, 0.0, 0
2000-08-05, 62, 53, 57.5, M, 0.00, 0.0, 0
2000-08-06, 61, 53, 57.0, M, 0.00, 0.0, 0
2000-08-07, 62, 54, 58.0, M, 0.02, 0.0, 0
2000-08-08, 64, 55, 59.5, M, 0.00, 0.0, 0
2000-08-09, 65, 56, 60.5, M, 0.00, 0.0, 0
2000-08-10, 65, 55, 60.0, M, 0.00, 0.0, 0
2000-08-11, 72, 53, 62.5, M, 0.00, 0.0, 0
2000-08-12, 67, 54, 60.5, M, 0.00, 0.0, 0
2000-08-13, 71, 54, 62.5, M, 0.00, 0.0, 0
2000-08-14, 70, 53, 61.5, M, 0.00, 0.0, 0
2000-08-15, 69, 52, 60.5, M, 0.00, 0.0, 0
2000-08-16, 72, 52, 62.0, M, 0.00, 0.0, 0
2000-08-17, 70, 52, 61.0, M, 0.00, 0.0, 0
2000-08-18, 67, 52, 59.5, M, 0.00, 0.0, 0
2000-08-19, 62, 52, 57.0, M, 0.00, 0.0, 0
2000-08-20, 68, 52, 60.0, M, 0.00, 0.0, 0
2000-08-21, 68, 53, 60.5, M, 0.00, 0.0, 0
2000-08-22, 66, 55, 60.5, M, 0.00, 0.0, 0
2000-08-23, 65, 55, 60.0, M, 0.00, 0.0, 0
2000-08-24, 72, 54, 63.0, M, 0.00, 0.0, 0
2000-08-25, 67, 52, 59.5, M, 0.00, 0.0, 0
2000-08-26, 66, 54, 60.0, M, 0.00, 0.0, 0
2000-08-27, 65, 53, 59.0, M, 0.00, 0.0, 0
2000-08-28, 66, 54, 60.0, M, 0.00, 0.0, 0
2000-08-29, 61, 56, 58.5, M, 0.00, 0.0, 0
2000-08-30, 65, 58, 61.5, M, 0.00, 0.0, 0
2000-08-31, 68, 58, 63.0, M, 0.00, 0.0, 0
2000-09-01, 62, 59, 60.5, M, 0.14, M, M
2000-09-02, 68, 59, 63.5, M, 0.01, M, M
2000-09-03, 66, 55, 60.5, M, 0.00, M, M
2000-09-04, 65, 55, 60.0, M, 0.00, M, M
2000-09-05, 72, 53, 62.5, M, 0.00, M, M
2000-09-06, 80, 57, 68.5, M, 0.00, M, M
2000-09-07, 88, 60, 74.0, M, 0.00, M, M
2000-09-08, 68, 55, 61.5, M, 0.00, M, M
2000-09-09, 66, 55, 60.5, M, 0.00, M, M
2000-09-10, 66, 53, 59.5, M, 0.00, M, M
2000-09-11, 69, 53, 61.0, M, 0.00, M, M
2000-09-12, 78, 51, 64.5, M, 0.00, M, M
2000-09-13, 78, 64, 71.0, M, 0.00, M, M
2000-09-14, 71, 59, 65.0, M, 0.00, M, M
2000-09-15, 65, 56, 60.5, M, 0.00, M, M
2000-09-16, 66, 56, 61.0, M, 0.00, M, M
2000-09-17, 92, 57, 74.5, M, 0.00, M, M
2000-09-18, 91, 65, 78.0, M, 0.00, M, M
2000-09-19, 86, 63, 74.5, M, 0.00, M, M
2000-09-20, 75, 64, 69.5, M, 0.00, M, M
2000-09-21, 70, 60, 65.0, M, 0.00, M, M
2000-09-22, 66, 57, 61.5, M, 0.06, M, M
2000-09-23, 70, 56, 63.0, M, 0.00, M, M
2000-09-24, 74, 53, 63.5, M, 0.00, M, M
2000-09-25, 78, 55, 66.5, M, 0.00, M, M
2000-09-26, 65, 57, 61.0, M, 0.00, M, M
2000-09-27, 64, 58, 61.0, M, 0.00, M, M
2000-09-28, 61, 57, 59.0, M, 0.00, M, M
2000-09-29, 72, 54, 63.0, M, 0.00, M, M
2000-09-30, 76, 58, 67.0, M, 0.00, M, M
2000-10-01, 66, 57, 61.5, M, 0.00, M, M
2000-10-02, 63, 55, 59.0, M, 0.00, M, M
2000-10-03, 65, 53, 59.0, M, 0.00, M, M
2000-10-04, 64, 54, 59.0, M, 0.00, M, M
2000-10-05, 62, 55, 58.5, M, 0.00, M, M
2000-10-06, 61, 53, 57.0, M, 0.00, M, M
2000-10-07, 61, 55, 58.0, M, 0.00, M, M
2000-10-08, 64, 53, 58.5, M, 0.00, M, M
2000-10-09, 65, 57, 61.0, M, 0.09, M, M
2000-10-10, 60, 55, 57.5, M, 0.06, M, M
2000-10-11, 60, 53, 56.5, M, 0.00, M, M
2000-10-12, 68, 54, 61.0, M, 0.00, M, M
2000-10-13, 66, 53, 59.5, M, 0.00, M, M
2000-10-14, 64, 53, 58.5, M, 0.00, M, M
2000-10-15, 65, 52, 58.5, M, 0.00, M, M
2000-10-16, 78, 53, 65.5, M, 0.00, M, M
2000-10-17, 68, 57, 62.5, M, 0.00, M, M
2000-10-18, 66, 53, 59.5, M, 0.00, M, M
2000-10-19, 69, 54, 61.5, M, 0.00, M, M
2000-10-20, 63, 53, 58.0, M, 0.00, M, M
2000-10-21, 65, 52, 58.5, M, 0.00, M, M
2000-10-22, 74, 59, 66.5, M, 0.00, M, M
2000-10-23, 78, 59, 68.5, M, 0.00, M, M
2000-10-24, 74, 56, 65.0, M, 0.00, M, M
2000-10-25, 62, 55, 58.5, M, 0.21, M, M
2000-10-26, 57, 54, 55.5, M, 0.98, M, M
2000-10-27, 65, 52, 58.5, M, 0.00, M, M
2000-10-28, 59, 51, 55.0, M, 0.54, M, M
2000-10-29, 62, 52, 57.0, M, 0.36, M, M
2000-10-30, 61, 51, 56.0, M, 0.14, M, M
2000-10-31, 64, 48, 56.0, M, 0.00, M, M
2000-11-01, 61, 49, 55.0, M, 0.00, M, M
2000-11-02, 68, 51, 59.5, M, 0.00, M, M
2000-11-03, 74, 54, 64.0, M, 0.00, M, M
2000-11-04, 62, 53, 57.5, M, 0.00, M, M
2000-11-05, 60, 52, 56.0, M, 0.00, M, M
2000-11-06, 67, 51, 59.0, M, 0.00, M, M
2000-11-07, 71, 53, 62.0, M, 0.00, M, M
